"","sound.files","dtw.dim.1","dtw.dim.2","dtw.dim.3","dtw.dim.4","dtw.dim.5"
"1","Parus-major-524612.wav-1",-0.540641347595872,6.07568858343875,6.24870650710876,1.87881734272266,-3.20612596209473
"2","Parus-major-524612.wav-2",-41.1310648659214,-9.33784886495568,-5.53474552377317,-1.01689151867632,3.6433879886765
"3","Parus-major-524612.wav-3",8.46282658630988,5.61149203187361,7.66131278469306,-2.76859922462321,-2.32369901176627
"4","Parus-major-524612.wav-4",-36.6541874567286,-0.439678028062717,-8.23747209203604,-1.26495010688747,-0.13361606438247
"5","Parus-major-524612.wav-5",9.17454597741695,6.27579540128411,7.54129869114999,-3.39793800408408,-2.22199493418596
"6","Parus-major-524612.wav-6",-39.5000062004619,-3.97147252946187,-6.91483464628648,-1.87569329616983,0.0906243101280422
"7","Parus-major-524612.wav-7",9.68254285698804,6.29399276523276,7.62767775566159,-3.92664152012421,-2.15851555893779
"8","Parus-major-524612.wav-8",-33.5326633168546,2.09673867924823,-8.63660204366969,-1.87864124936181,-2.26552405872309
"9","Parus-major-524612.wav-9",10.6772851142137,7.45824861457126,7.51352283888349,-4.20630449642542,-1.50973773793393
"10","Parus-major-524612.wav-10",-40.2793956837485,-6.38885584122513,-7.05450626994186,-0.563124836679791,4.15177173246545
"11","Parus-major-524612.wav-11",8.4611719470275,5.59995297307089,7.67898853417128,-2.81455134807503,-2.37868068778886
"12","Parus-major-524612.wav-12",-39.8487982816221,-8.32941136824134,-4.34079121522259,-0.568079997845322,2.7955081977422
"13","Parus-major-524612.wav-13",9.05751655878697,6.68854724922691,7.76683970073209,-3.8380630269851,-2.59537076737985
"14","Parus-major-524612.wav-14",-38.6219655324132,-6.2553386032896,-5.63361263324249,0.0351007389555069,3.38246756125678
"15","Parus-major-524612.wav-15",9.65666539141948,6.65264721536327,7.52863449524926,-3.37488883893973,-1.64853739587508
"16","Parus-major-524612.wav-16",-33.5772784314265,-4.44668632162482,-2.31565793838587,-0.866925259685337,-3.25433159809994
"17","Parus-major-524612.wav-17",9.05279483292983,6.07584450466548,7.68875123669292,-2.9993442285973,-1.96844868236142
"18","Parus-major-524612.wav-18",-39.0723750143795,-6.90952776693833,-5.08043355912474,-0.573129349872022,1.97152950977842
"19","Parus-major-524612.wav-19",3.32252181849506,7.17268623830841,6.70640508298589,-0.265558600593634,-3.02380514757874
"20","Parus-major-524612.wav-20",-36.7491914323468,-6.99122004421273,-3.70450678537826,0.575286459763009,2.64143036602686
"21","Parus-major-524612.wav-21",10.6019314563255,6.88018983272452,7.90415486899008,-4.74379997090526,-2.40496799107332
"22","Parus-major-524612.wav-22",1.66890524761677,6.9600751323407,6.43046630843661,0.793298607995566,-3.06310946361661
"23","Parus-major-524612.wav-23",-39.1122692094699,-8.56684110670472,-4.91959916576689,0.291173171300877,5.06648457945874
"24","Parus-major-524612.wav-24",9.76977426887273,6.2014901705793,7.98520308416985,-4.07423444259411,-2.5179495000166
"25","Parus-major-524612.wav-25",-36.4771329508835,-7.39493540402979,-3.15623080159886,0.502650162717947,2.28844927799515
"26","Parus-major-524612.wav-26",8.57331858814715,5.58547986673053,7.76866966142096,-2.9464869547337,-2.44788602812499
"27","Parus-major-524612.wav-27",-0.142366270027767,6.69455435560228,6.11102319671891,1.94683899681809,-2.97896683927627
"28","Parus-major-524612.wav-28",-46.0242744212537,-9.90503540472967,-7.22296401721843,-4.99904032146685,-1.69641565078983
"29","Parus-major-524612.wav-29",9.11200519710702,5.6165991322565,7.97455301533763,-3.61656917959012,-2.60704662671358
"30","Parus-major-524612.wav-30",-44.7510781383722,-2.25415334233764,-11.8992296283866,-5.69754485788585,-2.95575537365496
"31","Parus-major-524612.wav-31",9.55426320519042,5.60801447811895,7.68731195541526,-2.92631538433369,-1.65531450360297
"32","Parus-major-524612.wav-32",-45.8779072958329,-5.30125190245581,-11.9549841167083,-4.31745555391411,3.28214086234142
"33","Parus-major-524612.wav-33",8.77817298364317,5.64261421103779,7.77397798813479,-3.24905628182509,-2.50830217112705
"34","Parus-major-524612.wav-34",1.00573748489334,6.33335572122263,6.47471350293284,1.06755480066763,-3.23793099287244
"35","Parus-major-524612.wav-35",-39.9608481318953,-6.29900822460393,-5.83068289580767,-1.90796309728547,1.90353555365081
"36","Parus-major-524612.wav-36",9.41379424817344,7.3184017021557,7.51131270980407,-3.6500469271298,-1.88767100359851
"37","Parus-major-524612.wav-37",-39.2660500441698,-5.0771347872636,-5.70455891367823,-2.10852121272675,-1.53960002851239
"38","Parus-major-524612.wav-38",9.34488191075444,6.25658708839555,7.65387521646925,-3.59864051607747,-2.25230763565779
"39","Parus-major-524612.wav-39",-40.5705920649878,-4.45380707320258,-8.29134006161265,-2.19422640523878,1.47201129187328
"40","Parus-major-524612.wav-40",8.51518569599924,6.60073958709771,7.57632836461755,-2.92531726539288,-2.08093331667502
"41","Parus-major-524612.wav-41",-35.0452063126663,-9.39189434095935,-0.458062320256963,0.762984300659849,1.13682956469227
"42","Parus-major-524612.wav-42",8.30572510244738,7.20509425170407,7.44383415797764,-3.48002300681706,-2.502065965465
"43","Parus-major-524612.wav-43",-32.0855766284038,-3.09613960635295,-3.57260310019921,2.66706928071756,4.40121450876617
"44","Parus-major-524612.wav-44",7.94553781392279,7.01843212009971,7.41415076306167,-2.81730879952069,-2.20019234554446
"45","Parus-major-524612.wav-45",-33.0067460022178,-4.50869670468416,-3.6371744509016,2.01261389889951,4.46638443847185
"46","Parus-major-524612.wav-46",8.08126272508773,6.05427353740476,7.65061680173951,-2.92888083093229,-2.53805904213632
"47","Parus-major-524612.wav-47",0.0719487665662444,6.73752733777971,6.10146582029699,1.71953521528774,-2.95545273473618
"48","Parus-major-524612.wav-48",-34.2940004337829,-7.03384787763255,-2.62844359118008,1.39033577308376,3.75177908811585
"49","Parus-major-524612.wav-49",9.64144977302196,6.22980573116435,7.89997470720197,-3.95049082336742,-2.48709973552269
"50","Parus-major-524612.wav-50",-31.8234492280595,-3.47880545823475,-3.00352331705853,2.37565042126799,3.11720612496017
"51","Parus-major-524612.wav-51",8.45330374861168,6.51501265355007,7.51213825896156,-2.90881230284092,-2.05779822866527
"52","Parus-major-524612.wav-52",0.996617468552955,6.31620443734918,6.56998264719825,1.08800570951165,-3.36763734728565
