Common Blackbird
Stock Dove
Eurasian Blackcap
Eurasian Treecreeper
Song Thrush
Eurasian Blue Tit
Goldcrest
Dunnock
Eurasian Wren
Great Tit
Rook
Common Wood Pigeon
Common Chaffinch
European Robin
Mistle Thrush
