file,name,peak_frequency,body_mass
1,,,117.5
2,,,450
3,,,9
4,,,453.5
5,,,18
6,,,20.25
7,,,18.7
8,,,10.35
9,,,10.2714285714286
10,,,300
11,,,5.8
12,,,15.1
13,,,24.5666666666667
14,,,103.2
15,,,67.75
