"sound.files","duration","selec","start","end"
"Parus-major-524612.wav",0.065896054114002,1,0.570207218427631,0.636103272541633
"Parus-major-524612.wav",0.148028025208605,2,0.845129365736014,0.993157390944619
"Parus-major-524612.wav",0.104671777629124,3,1.1195979958103,1.22426977343943
"Parus-major-524612.wav",0.149207170017252,4,1.38685570186248,1.53606287187973
"Parus-major-524612.wav",0.111746646481006,5,1.65012245625462,1.76186910273563
"Parus-major-524612.wav",0.162177762912368,6,1.92032802432842,2.08250578724078
"Parus-major-524612.wav",0.10771034309756,7,2.20023886121184,2.3079492043094
"Parus-major-524612.wav",0.150477018272718,8,2.48092067739323,2.63139769566595
"Parus-major-524612.wav",0.0895696537337609,9,2.77720348642749,2.86677314016125
"Parus-major-524612.wav",0.1403635839524,10,3.04881495792698,3.18917854187938
"Parus-major-524612.wav",0.0899778192444463,11,3.31534703640461,3.40532485564905
"Parus-major-524612.wav",0.14113456325036,12,6.8507406347921,6.99187519804246
"Parus-major-524612.wav",0.0846716676055346,13,7.13459707161215,7.21926873921769
"Parus-major-524612.wav",0.137370370207372,14,7.42103855666655,7.55840892687392
"Parus-major-524612.wav",0.0990935156497557,15,7.68271800073936,7.78181151638911
"Parus-major-524612.wav",0.141769487378093,16,7.96122293419709,8.10299242157519
"Parus-major-524612.wav",0.0771432815195592,17,8.23492058497342,8.31206386649298
"Parus-major-524612.wav",0.138458811569199,18,8.50979738055839,8.64825619212759
"Parus-major-524612.wav",0.0532429232827507,19,12.9837448949055,13.0369878181882
"Parus-major-524612.wav",0.14299398391015,20,13.3068759241981,13.4498699081083
"Parus-major-524612.wav",0.0759187849875005,21,13.6026145125515,13.678533297539
"Parus-major-524612.wav",0.0501136543674967,22,15.839588269725,15.8897019240925
"Parus-major-524612.wav",0.135465597824176,23,16.1150092859909,16.2504748838151
"Parus-major-524612.wav",0.0759641367109118,24,16.3962806745766,16.4722448112875
"Parus-major-524612.wav",0.135193487483718,25,16.6681189046932,16.8033123921769
"Parus-major-524612.wav",0.0815877504136893,26,16.9359208314263,17.0175085818399
"Parus-major-524612.wav",0.0449435578988115,27,19.8358460813999,19.8807896392987
"Parus-major-524612.wav",0.132245625462097,28,20.1111310424955,20.2433766679576
"Parus-major-524612.wav",0.0890707847762577,29,20.3995226516565,20.4885934364328
"Parus-major-524612.wav",0.150794480336582,30,20.6704538473049,20.8212483276414
"Parus-major-524612.wav",0.0790934056261641,31,20.9486413186987,21.0277347243249
"Parus-major-524612.wav",0.149343225187483,32,21.220116735028,21.3694599602155
"Parus-major-524612.wav",0.0969619846495107,33,21.5022951580819,21.5992571427314
"Parus-major-524612.wav",0.0655785920501373,34,26.4461318786748,26.5117104707249
"Parus-major-524612.wav",0.149887445868394,35,26.758469197796,26.9083566436644
"Parus-major-524612.wav",0.0887079709889811,36,27.0520762551491,27.1407842261381
"Parus-major-524612.wav",0.138458811569198,37,27.3210573266908,27.45951613826
"Parus-major-524612.wav",0.0934245502235669,38,27.6030996945745,27.6965242447981
"Parus-major-524612.wav",0.131928163398232,39,27.8979312484597,28.0298594118579
"Parus-major-524612.wav",0.0873474192866937,40,28.1758466095131,28.2631940287998
"Parus-major-524612.wav",0.134331804738935,41,30.8579928836743,30.9923246884132
"Parus-major-524612.wav",0.0891614882230769,42,31.1406701756857,31.2298316639087
"Parus-major-524612.wav",0.139139087420343,43,31.4271570124635,31.5662960998838
"Parus-major-524612.wav",0.0800457918177671,44,31.701988456325,31.7820342481428
